,0
4096,I
4097,II
4098,III
4099,I
4101,III
4103,II
4107,II
4110,III
4111,II
4112,III
4113,III
4114,II
4115,I
4116,I
4117,II
4118,III
4119,II
4126,III
4128,I
4129,I
4130,I
4132,III
4136,"II,III"
4137,II
4141,I
4142,"I,III"
4145,III
4147,II
4151,II
4152,II
4153,III
4154,III
4156,III
4157,II
4162,II
4168,I
4169,II
4170,II
4174,I
4175,III
4178,II
4181,I
4186,I
4187,I
4189,II
4190,II
4193,III
4198,I
4200,II
4204,II
4205,I
4206,II
4207,III
4208,II
4210,I
4212,III
4213,II
4222,II
4223,II
4224,II
4226,II
4227,III
4228,II
4229,I
4233,III
4234,I
4236,III
4239,II
4244,III
4246,III
4251,I
4252,II
4253,II
4255,II
4256,II
4257,II
4258,II
4260,I
4261,II
4264,III
4265,III
4269,III
4273,II
4278,I
4279,II
4280,III
4282,II
4287,I
4288,III
